Swing Number,Drill Type,Hip Acceleration,Shoulder Acceleration,Exit Velocity,Distance,Launch Angle
1,tee,64,110.3,84.3,20,-5
2,tee,71.4,139.1,78,11,-12
3,tee,77.4,85.9,85.6,41,-1
4,tee,99.2,112.1,88.3,144,8
5,tee,43.9,92.7,88.9,152,8
6,tee,43.8,105.5,84.7,22,-4
7,tee,42.2,137.3,86.9,168,10
8,tee,44.6,105,80.7,253,22
9,tee,46.6,103,79.2,254,23
10,tee,42.5,90.1,84.4,243,18
11,tee,42.9,115.1,80.1,265,25
12,tee,46.5,103.2,83.6,180,12
13,tee,41.9,98.3,83.9,250,19
14,tee,47.1,148.3,87.2,116,6
15,tee,46.9,134.2,89.3,117,6
16,tee,59.5,114.5,87.9,137,7
17,tee,50.1,120.4,88.5,212,13
18,tee,54.6,126.9,90.4,211,12
19,tee,48.2,108,79.3,36,-1
20,tee,53.4,135.2,86.8,251,19
21,tee,47,135.2,87.1,237,16
22,tee,55,123.4,87.5,250,17
23,tee,53.2,125.2,88.3,244,16
24,tee,64.7,117.6,80.5,297,32
25,tee,95.5,133.2,83.2,316,32
26,tee,45.7,119,82.1,304,31
27,tee,53,152.7,80,52,1
28,tee,50,151.4,87.8,288,21
29,tee,55.3,146.3,86.2,282,22
30,tee,109.9,123.3,90.6,297,21
31,tee,74.4,142.3,91,302,21
32,tee,110.1,120.7,83.1,318,34
33,tee,90.3,129.6,90.1,310,22
34,tee,62.8,122.4,90.1,262,17
35,tee,66.7,164.4,85.5,279,22
36,tee,64.4,169.3,87.8,334,29
37,tee,91.8,140.6,89.1,322,25
38,tee,55.9,160.2,86.3,330,31
39,tee,66.6,158.3,92,282,18
40,tee,65.6,143.4,89.6,255,17
41,tee,71.5,142.8,86.1,164,10
42,tee,60.2,153,80.5,307,40
43,tee,66.3,116.7,92.1,325,23
44,tee,67.1,129.9,89.6,348,29
45,tee,64.8,143.4,91.6,311,22
46,tee,60,149.8,92.7,332,23
47,tee,65.9,176,90.1,324,25
48,tee,58.7,140.5,86.8,331,30
49,tee,111.4,167.3,86,301,25
50,tee,78.7,141.3,90.6,274,18
51,tee,46,91,83,112,6
52,tee,37,87,87,198,12
53,tee,50,79,87,198,12
54,tee,45,100,86,225,15
55,tee,49,104,86,190,12
56,tee,43,98,86,262,18
57,tee,49,95,87,243,16
58,tee,51,97,87,164,9
59,tee,48,105,84,144,8
60,tee,48,97,84,203,14
61,tee,56,88,86,156,9
62,tee,54.6,109,82,304,29
63,tee,55,65,78,293,38
64,tee,51,114,87,181,10
65,tee,55,104,85,150,9
66,tee,56,127,86,310,26
67,tee,60,111,91,97,3
68,tee,48.7,110,89,53,31
69,tee,49,137,87,244,16
70,tee,44,107,88,97,4
71,tee,54,140,89,192,11
72,tee,57,126,89,68,1
73,tee,53,109,89,65,1
74,tee,47,103,89,214,13
75,tee,48,121,85,249,17
76,tee,46,106,89,191,11
77,tee,46,96,87,268,19
78,tee,49,114,89,259,17
79,tee,54,137,81,310,32
80,tee,49,110,87,276,20
81,tee,51,130,85,258,19
82,tee,50,105,81,299,30
83,tee,60,133,81,275,25
84,tee,44,101,86,260,18
85,tee,45,110,80,243,20
86,tee,44,105,88,51,0
87,tee,44,123,89,191,11
88,tee,47,106,76,266,30
89,tee,43,118,86,268,20
90,tee,50,111,86,260,18
91,tee,55,109,84,277,22
92,tee,51,117,89,298,21
93,tee,58,116,86,265,19
94,tee,65,94,82,260,21
95,tee,62,147,88,74,2
96,tee,66,163,91,150,7
97,tee,44,131,87,77,2
98,tee,51,108,86,207,13
99,tee,42,105,87,246,17
100,tee,48,104,84,291,24
101,,54,104,88,159,9
102,,53,110,89,274,19
103,,,,,,
104,,,,,,
105,,,,,,
106,,,,,,
107,,,,,,
