Swing Number,Drill Type,Hip Speed,Shoulder Speed,Exit Velocity,Distance,Launch Angle,
1,Soft Toss,41.6,122.5,83,189,13,
2,Soft Toss,56.8,118.1,74.7,270,37,
3,Soft Toss,47.9,130.8,79.7,269,26,
4,Soft Toss,52.1,98.6,74.4,201,19,
5,Soft Toss,63.8,106.1,83.4,285,25,
6,Soft Toss,66.7,124.5,87.9,295,22,
7,Soft Toss,61.1,107.3,87.7,106,5,
8,Soft Toss,56.3,146.5,87.7,289,21,
9,Soft Toss,109.5,103.8,91.2,155,8,
10,Soft Toss,68.6,78.8,89.3,182,11,
11,Soft Toss,51,135.8,90,153,8,
12,Soft Toss,60.7,127.9,90.7,306,22,
13,Soft Toss,59.4,98.5,85.9,180,12,
14,Soft Toss,70.5,134.1,91.6,115,5,
15,Soft Toss,81.2,137.7,86.6,169,11,
16,tee,27.8,146.4,78.5,174,13,
17,tee,62.2,134.5,37.7,85,44,
18,tee,52.3,149.2,81.4,130,8,
19,tee,67.5,133,83.5,29,-2,
20,tee,62.2,120.7,63.5,179,25,
21,tee,79.9,97.9,79.8,40,0,
22,tee,58.2,105.1,76.3,177,15,
23,tee,60.8,112.1,75,198,18,
24,tee,50.4,156.5,83.5,132,8,
25,tee,57.9,132.6,81.8,82,4,
26,tee,61.4,120.4,84.2,211,15,
27,tee,59.3,122.7,85,240,18,
28,tee,57.9,105.9,80.1,205,16,
29,tee,64.5,100.9,79.3,14,-10,
30,tee,60.2,117.3,86.3,164,10,
31,tee,62.7,109.4,58.2,174,33,
32,tee,55.7,105.7,80.7,220,17,
33,tee,66.2,124.8,85.4,150,9,
34,tee,62.7,119.7,73.6,233,26,
35,tee,60.2,105.7,86.9,187,11,
36,tee,63.6,124.7,83.5,64,1,
37,tee,60.6,144.8,82.2,277,24,
38,tee,64.4,140.5,86.3,206,13,
39,tee,59.8,133.8,84.9,61,1,
40,tee,64.5,122,87,151,8,
41,tee,59.2,121.3,86.5,192,12,
42,tee,63.6,88.9,85.9,173,11,
43,tee,61.7,94,73.9,258,32,
44,tee,58,138.9,71.6,245,31,
45,tee,63,94.4,87.5,192,12,
46,tee,63.6,126.4,84.3,273,22,
47,tee,68.9,89.6,84.9,280,22,
48,tee,65.3,91.8,85.6,123,7,
49,tee,72.4,70.1,76.5,269,30,
50,tee,60.5,91.5,85.9,228,16,
51,tee,54.7,113.5,88.2,254,17,
52,tee,64.5,90.3,79.1,282,30,
53,tee,63.2,107.6,77.3,271,29,
54,tee,60,104.7,80,248,22,
55,tee,59.1,129.6,84.8,188,12,
56,tee,67.3,111.6,78.7,17,-6,
57,tee,62.6,90.7,86.1,135,7,
58,tee,65.1,134.1,78.5,233,20,
59,tee,59.6,118.1,84.6,86,4,
60,tee,66.6,117.7,82.5,271,23,
61,tee,53.1,129.4,76.9,268,29,
62,tee,63.8,85.6,66.9,11,-11,
63,tee,63.3,119.2,84.1,213,15,
64,tee,69.6,124.3,82.8,102,5,
65,tee,67.5,101.2,80.2,215,17,
66,tee,60.4,83.8,88.3,175,10,
67,tee,56.6,120.5,75.8,216,20,
68,tee,58.8,97.1,83.1,235,17,
69,tee,58.4,107.1,84.6,187,12,
70,tee,57.9,143.7,82.4,268,23,
71,tee,65.8,141.4,71.5,247,33,
72,tee,46.8,108,83,155,10,
73,tee,58.8,140.3,79.7,225,19,
74,tee,65.9,116.9,59.1,184,38,
75,tee,63.2,117.3,85.5,196,13,
76,tee,67.7,115.8,80.9,286,28,
77,tee,57.6,123.2,81.3,280,26,
78,tee,53.5,85.3,76.6,207,19,
79,tee,62.7,74.7,79.5,250,23,
80,tee,58.5,97.1,84.8,108,8,
81,tee,69.1,106.5,79,239,21,
82,,67,99,86.1,196,13,
83,,61.5,93.6,85,208,13,
84,,59.1,95.2,84.5,154,10,
85,,76.1,110.3,87.5,219,14,
86,,94,898.5,76.9,26,-3,
87,,55.4,90.7,77,19,-6,
88,,65.7,108,84.8,99,5,
89,,78.6,119.2,69.6,240,37,
90,,51.2,95.5,87,214,14,
91,,55,117.3,87.8,231,15,
92,,63.7,104.3,89.3,143,8,
93,,63.8,80.7,87.9,65,2,
94,,66.6,128.4,84.9,73,3,
95,,72.1,134.4,84.3,237,18,
96,,55.9,105.6,84.1,252,19,
97,,51.2,152,88,202,13,
98,,57.7,121,84.5,186,12,
99,,55.2,113.7,85,25,-4,
100,,59.8,99.7,83.8,260,21,
101,,55.4,123.1,80,272,26,
102,,57.1,122,87.1,104,5,
103,,62.9,137.3,86.1,92,4,
104,,75.8,99,85.6,295,24,
105,,60.8,107.5,87.4,244,17,
106,,60.4,99.1,84.3,37,-1,
107,,81,137.9,87.5,244,17,
108,,65.2,132.2,86.9,166,10,
109,,60.7,135.6,87.8,231,15,
110,,94.3,97.1,80.9,14,-9,
111,,46.5,112.7,87.1,185,11,
112,,147.7,102.6,82.1,289,27,
113,,99.5,105.5,88.7,187,11,
114,,121,132.2,88.8,232,15,
115,,143.9,106.7,88.1,115,6,
116,,122.3,117.6,88.1,170,10,
117,,123.8,139.3,65.6,219,40,
118,,57.6,108.3,85.7,172,11,tilted
119,,70.3,127.4,87,234,16,
120,,88.7,96.8,85.9,157,9,
